#bin	chrom	chromStart	chromEnd	ix	type	frag	fragStart	fragEnd	strand
14	chr1	48198187	48272933	3079	W	AAFC03058533.1	0	74746	-
14	chr1	49277593	49283076	3146	W	AAFC03035387.1	0	5483	-
15	chr1	51371245	51456907	3277	W	AAFC03074032.1	13279	98941	-
15	chr1	52370814	52431126	3346	W	AAFC03049148.1	0	60312	-
15	chr1	53467868	53490393	3414	W	AAFC03102657.1	0	22525	+
15	chr1	54520397	54532652	3477	W	AAFC03014197.1	0	12255	+
15	chr1	55551649	55605708	3557	W	AAFC03088481.1	15986	70045	-
15	chr1	56609625	56627362	3628	W	AAFC03125937.1	0	17737	+
15	chr1	57665865	57710251	3680	W	AAFC03050674.1	0	44386	-
16	chr1	59761379	59770183	3830	W	AAFC03083189.1	0	8804	+
16	chr1	60788324	60874055	3890	W	AAFC03005923.1	5109	90840	-
16	chr1	61841069	61869125	3944	W	AAFC03122349.1	0	28056	-
16	chr1	62877572	62928429	4006	W	AAFC03078893.1	15886	66743	+
16	chr1	63949909	64001422	4076	W	AAFC03124251.1	0	51513	-
16	chr1	64974394	65041441	4117	W	AAFC03072578.1	0	67047	+
16	chr1	66055523	66062109	4186	W	AAFC03072664.1	0	6586	-
17	chr1	68138477	68195256	4335	W	AAFC03065343.1	0	56779	+
17	chr1	69139161	69230595	4377	W	AAFC03069917.1	0	91434	+
17	chr1	70249787	70261319	4443	W	AAFC03070772.1	0	11532	-
17	chr1	71285928	71304315	4504	W	AAFC03039820.1	1580	19967	-
17	chr1	73383883	73404495	4626	W	AAFC03050749.1	33598	54210	+
17	chr1	74412334	74488133	4668	W	AAFC03010931.1	0	75799	-
18	chr1	76475881	76546643	4790	W	AAFC03051431.1	0	70762	+
18	chr1	77548000	77636583	4845	W	AAFC03020407.1	2	88585	+
18	chr1	78625437	78661164	4893	W	AAFC03062839.1	0	35727	+
18	chr1	79667782	79774743	4946	W	AAFC03085226.1	0	106961	-
18	chr1	80682209	80756440	4993	W	AAFC03077962.1	0	74231	+
18	chr1	81780533	81809310	5050	W	AAFC03121702.1	0	28777	+
18	chr1	82760920	82872120	5094	W	AAFC03089115.1	0	111200	-
19	chr1	84913883	84951469	5188	W	AAFC03124221.1	0	37586	+
19	chr1	85968850	86009050	5230	W	AAFC03041607.1	0	40200	+
19	chr1	86993032	87095333	5289	W	AAFC03058731.1	12157	114458	-
19	chr1	88075829	88116459	5374	W	AAFC03078101.1	11077	51707	-
19	chr1	90175649	90178734	5519	W	AAFC03130012.1	0	3085	+
19	chr1	91174542	91227604	5573	W	AAFC03032008.1	0	53062	-
20	chr1	93279593	93340682	5718	W	AAFC03085065.1	0	61089	+
20	chr1	94327630	94403399	5784	W	AAFC03026692.1	0	75769	-
20	chr1	95410255	95543030	5832	W	AAFC03039884.1	0	132775	+
20	chr1	96414282	96512247	5891	W	AAFC03054361.1	0	97965	+
20	chr1	97499518	97629154	5928	W	AAFC03064112.1	3686	133322	+
20	chr1	99571635	99624811	6038	W	AAFC03021652.1	0	53176	-
21	chr1	101711311	101719187	6161	W	AAFC03129296.1	0	7876	-
21	chr1	102755731	102775567	6220	W	AAFC03090822.1	0	19836	+
21	chr1	103800654	103866236	6305	W	AAFC03089705.1	21186	86768	-
21	chr1	104834950	104873176	6374	W	AAFC03079682.1	5920	44146	-
21	chr1	105875624	105910840	6458	W	AAFC02002046.1	0	35216	+
21	chr1	106953601	106988312	6524	W	AAFC03031276.1	9017	43728	-
21	chr1	108000452	108142663	6619	W	AAFC03009457.1	0	142211	+
22	chr1	110059173	110130117	6745	W	AAFC03072091.1	16991	87935	-
22	chr1	111104690	111244238	6811	W	AAFC03056002.1	0	139548	+
22	chr1	112155293	112200425	6862	W	AAFC03006694.1	0	45132	+
22	chr1	113195326	113294025	6949	W	AAFC03046815.1	0	98699	+
22	chr1	114293235	114306643	7027	W	AAFC03033096.1	0	13408	+
22	chr1	115322201	115466120	7079	W	AAFC03045886.1	0	143919	+
22	chr1	116252952	116432347	7147	W	AAFC03037844.1	0	179395	+
23	chr1	118488175	118506500	7285	W	AAFC03127249.1	0	18325	+
23	chr1	119526943	119640870	7363	W	AAFC03092841.1	36939	150866	-
23	chr1	120566947	120607373	7437	W	AAFC03078650.1	0	40426	+
23	chr1	121628870	121637609	7517	W	AAFC02110631.1	0	8739	+
23	chr1	122657534	122705036	7584	W	AAFC03032956.1	0	47502	+
23	chr1	123720314	123734501	7653	W	AAFC03085538.1	0	14187	+
24	chr1	126844756	126921822	7902	W	AAFC03065716.1	0	77066	+
24	chr1	127903612	127932397	7998	W	AAFC03120365.1	0	28785	+
24	chr1	130014500	130070579	8109	W	AAFC03089125.1	0	56079	+
24	chr1	131066585	131094101	8174	W	AAFC03056455.1	0	27516	+
24	chr1	132114610	132179368	8255	W	AAFC03050458.1	3105	67863	-
24	chr1	133164208	133180171	8321	W	AAFC03051749.1	0	15963	+
25	chr1	135212453	135279419	8452	W	AAFC03029677.1	0	66966	-
25	chr1	136279537	136327343	8534	W	AAFC03073288.1	0	47806	+
25	chr1	137362613	137368839	8585	W	AAFC02005017.1	0	6226	+
25	chr1	138383688	138415886	8674	W	AAFC03124129.1	0	32198	-
25	chr1	139439731	139549549	8749	W	AAFC03010299.1	0	109818	-
25	chr1	140504664	140531192	8815	W	AAFC03038736.1	0	26528	-
25	chr1	141481656	141706203	8906	D	AC151006.7	0	224547	+
26	chr1	143644057	143706279	9034	W	AAFC03090061.1	703	62925	-
26	chr1	144681447	144723459	9096	W	AAFC03122016.1	0	42012	+
26	chr1	145751290	145757486	9160	W	AAFC03124015.1	0	6196	-
26	chr1	146766122	146809771	9231	W	AAFC03116922.1	19675	63324	-
26	chr1	147848415	147884431	9316	W	AAFC03019289.1	58855	94871	-
26	chr1	148892262	148912693	9396	W	AAFC03108789.1	7246	27677	+
26	chr1	149929832	149966813	9490	W	AAFC03041944.1	18400	55381	-
27	chr1	152035418	152049178	9600	W	AAFC03066102.1	0	13760	-
27	chr1	153062093	153134536	9670	W	AAFC02074907.1	0	72443	+
27	chr1	154129930	154148828	9752	W	AAFC03026134.1	0	18898	+
27	chr1	155150517	155189844	9836	W	AAFC03064702.1	9329	48656	-
27	chr1	156209211	156266365	9912	W	AAFC03061731.1	0	57154	+
27	chr1	157256389	157308368	9983	W	AAFC03054433.1	0	51979	+
27	chr1	158328685	158362899	10041	W	AAFC03005680.1	0	34214	+
28	chr1	160430376	160461069	10165	W	AAFC03075741.1	17881	48574	-
73	chr1	123827	157105	6	W	AAFC03019678.1	13741	47019	+
73	chr1	196020	291673	13	W	AAFC03019679.1	0	95653	-
73	chr1	324103	410217	19	W	AAFC03042875.1	0	86114	+
73	chr1	477835	564167	22	W	AAFC03047501.1	0	86332	-
73	chr1	572283	745442	26	W	AAFC03013754.1	0	173159	+
73	chr1	745442	837725	27	W	AAFC03012464.1	0	92283	-
73	chr1	860849	1027914	33	D	AC150567.3	0	167065	+
74	chr1	1270686	1386150	36	W	AAFC03010947.1	0	115464	+
74	chr1	1386150	1550052	37	D	AC151114.5	0	163902	-
74	chr1	1550052	1770452	38	D	AC149666.3	0	220400	-
74	chr1	1770452	1870547	39	W	AAFC03014622.1	16841	116936	-
74	chr1	1873625	2044864	41	F	AC151132.5	0	171239	-
75	chr1	2137580	2300800	45	D	AC150797.3	0	163220	-
75	chr1	2300800	2419041	46	D	AC150931.5	0	118241	-
75	chr1	2486245	2530044	51	W	AAFC03066968.1	0	43799	-
75	chr1	2589485	2627860	57	W	AAFC03066967.1	8939	47314	-
75	chr1	2712722	2772062	67	W	AAFC03023672.1	17051	76391	-
75	chr1	2860321	2886194	71	W	AAFC03009924.1	6012	31885	-
75	chr1	3005016	3016156	87	W	AAFC03070326.1	0	11140	+
76	chr1	3274579	3313138	127	W	AAFC03124903.1	0	38559	+
76	chr1	3367917	3410598	131	W	AAFC03124945.1	0	42681	-
76	chr1	3525433	3581459	138	W	AAFC03087318.1	0	56026	-
76	chr1	3658954	3682663	143	W	AAFC03040155.1	0	23709	-
76	chr1	3796899	3842555	159	W	AAFC03035113.1	7385	53041	-
76	chr1	3900822	3958632	171	W	AAFC03114607.1	0	57810	+
77	chr1	4439736	4460511	207	W	AAFC03108465.1	0	20775	+
77	chr1	4580258	4603151	224	W	AAFC03070228.1	11071	33964	-
77	chr1	4685067	4746665	232	W	AAFC03009969.1	0	61598	-
77	chr1	4847014	4859290	236	W	AAFC03083316.1	0	12276	+
77	chr1	4979507	4982079	246	W	AAFC03007820.1	0	2572	-
77	chr1	5102219	5119177	263	W	AAFC03030048.1	15583	32541	-
78	chr1	5316064	5384011	277	W	AAFC03057037.1	0	67947	+
78	chr1	5504247	5509468	283	W	AAFC02016428.1	0	5221	+
78	chr1	5620839	5670759	294	W	AAFC03096184.1	0	49920	-
78	chr1	5756691	5797542	306	W	AAFC03096181.1	0	40851	-
78	chr1	5797592	5914689	308	W	AAFC03000684.1	0	117097	-
78	chr1	6154289	6198183	326	W	AAFC03058201.1	0	43894	+
79	chr1	6308352	6438747	338	W	AAFC03034355.1	28577	158972	-
79	chr1	6488851	6565005	341	W	AAFC03059736.1	0	76154	-
79	chr1	6678877	6685675	353	W	AAFC03123343.1	36268	43066	-
79	chr1	6740117	6842611	355	W	AAFC03015366.1	0	102494	+
79	chr1	6926809	6977917	361	W	AAFC03006982.1	0	51108	+
79	chr1	7059326	7082529	367	W	AAFC03006984.1	42991	66194	-
79	chr1	7198392	7211052	374	W	AAFC02087103.1	0	12660	+
80	chr1	7463293	7552678	396	W	AAFC03052042.1	0	89385	+
80	chr1	7552728	7607804	398	W	AAFC03052041.1	0	55076	+
80	chr1	7647552	7734506	403	W	AAFC03079856.1	0	86954	+
80	chr1	7859321	7876691	411	W	AAFC03035404.1	0	17370	+
80	chr1	7971015	8003825	417	W	AAFC03033305.1	0	32810	+
80	chr1	8102692	8136733	425	W	AAFC03033304.1	6052	40093	-
80	chr1	8242783	8289665	429	W	AAFC02068031.1	0	46882	+
81	chr1	8499322	8525148	444	W	AAFC03124484.1	11797	37623	-
81	chr1	8640501	8652813	461	W	AAFC03005203.1	0	12312	+
81	chr1	8894113	8931734	485	W	AAFC03063165.1	0	37621	-
81	chr1	9027759	9054583	489	W	AAFC03063166.1	22547	49371	-
81	chr1	9155821	9204929	499	W	AAFC03083967.1	8576	57684	-
81	chr1	9276692	9320991	504	W	AAFC03010360.1	0	44299	-
82	chr1	9546249	9675745	514	W	AAFC03033599.1	0	129496	+
82	chr1	9675795	9706858	516	W	AAFC03033598.1	2096	33159	-
82	chr1	9771157	9851056	518	W	AAFC03079032.1	0	79899	+
82	chr1	9947484	9999775	523	W	AAFC03084505.1	0	52291	+
82	chr1	10074354	10097304	526	W	AAFC03106683.1	0	22950	-
82	chr1	10171332	10226182	536	W	AAFC03106681.1	0	54850	-
82	chr1	10306811	10379180	547	W	AAFC03102897.1	0	72369	+
83	chr1	10553057	10626259	557	W	AAFC03113335.1	0	73202	+
83	chr1	10726532	10763922	568	W	AAFC03086260.1	0	37390	+
83	chr1	10847868	10951912	573	W	AAFC03095962.1	0	104044	-
83	chr1	11005507	11011711	581	W	AAFC02170734.1	212	6416	-
83	chr1	11120462	11152870	589	W	AAFC03049700.1	0	32408	-
83	chr1	11270946	11277808	599	W	AAFC02056219.1	0	6862	+
83	chr1	11363543	11461810	605	W	AAFC03032278.1	0	98267	+
84	chr1	11663985	11693977	611	W	AAFC03066821.1	0	29992	-
84	chr1	11783219	11811563	614	W	AAFC03001418.1	0	28344	-
84	chr1	11892267	11958335	620	W	AAFC03085838.1	0	66068	-
84	chr1	11962445	12061117	624	W	AAFC03085839.1	0	98672	+
84	chr1	12116724	12239544	628	W	AAFC03027886.1	0	122820	+
84	chr1	12272444	12334480	633	W	AAFC03046300.1	5822	67858	-
84	chr1	12382514	12515955	639	W	AAFC03101552.1	0	133441	+
85	chr1	12697707	12719653	662	W	AAFC03017773.1	0	21946	+
85	chr1	12840128	12981647	671	W	AAFC03107742.1	14342	155861	+
85	chr1	13102116	13107753	676	W	AAFC03115978.1	0	5637	-
85	chr1	13214770	13265510	689	W	AAFC03054964.1	0	50740	-
85	chr1	13368581	13568882	693	W	AAFC03012720.1	0	200301	+
86	chr1	13727973	13799910	707	W	AAFC03038214.1	0	71937	-
86	chr1	13811733	13961459	710	W	AAFC03072200.1	0	149726	-
86	chr1	13986773	14028862	714	W	AAFC03006190.1	0	42089	+
86	chr1	14286805	14301977	730	W	AAFC03097323.1	0	15172	+
86	chr1	14415588	14441980	738	W	AAFC03097325.1	8817	35209	-
86	chr1	14529063	14553023	752	W	AAFC03053117.1	0	23960	-
87	chr1	14781755	14880577	770	W	AAFC03070457.1	19337	118159	-
87	chr1	14919023	15017414	775	W	AAFC03025608.1	2259	100650	+
87	chr1	15064024	15204471	780	W	AAFC03009152.1	0	140447	+
87	chr1	15324826	15345283	796	W	AAFC03052000.1	0	20457	+
87	chr1	15440271	15505609	801	W	AAFC03096154.1	0	65338	-
87	chr1	15579147	15602905	807	W	AAFC03096150.1	0	23758	+
88	chr1	15858078	15863206	845	W	AAFC02076998.1	14088	19216	-
88	chr1	15943284	16030234	854	W	AAFC03063270.1	0	86950	+
88	chr1	16119701	16122084	857	W	AAFC02104736.1	0	2383	+
88	chr1	16250663	16296916	869	W	AAFC03021459.1	0	46253	+
88	chr1	16380012	16428405	876	W	AAFC03064997.1	0	48393	+
88	chr1	16473144	16544333	884	W	AAFC03012352.1	734	71923	+
88	chr1	16638694	16650138	892	W	AAFC02038248.1	1160	12604	-
89	chr1	16907757	16919897	911	W	AAFC03002495.1	0	12140	+
89	chr1	17020200	17081527	925	W	AAFC03085700.1	0	61327	+
89	chr1	17166306	17177257	939	W	AAFC03057765.1	7892	18843	-
89	chr1	17277493	17322944	952	W	AAFC03015648.1	0	45451	+
89	chr1	17418020	17436902	961	W	AAFC03015643.1	0	18882	+
89	chr1	17559069	17568210	968	W	AAFC03003779.1	0	9141	+
89	chr1	17685724	17741438	985	W	AAFC03062076.1	0	55714	+
90	chr1	17931331	17990082	994	W	AAFC03075056.1	0	58751	+
90	chr1	18188068	18219593	1010	W	AAFC03009189.1	18149	49674	-
90	chr1	18338544	18357400	1016	W	AAFC03009187.1	0	18856	-
90	chr1	18449094	18521598	1022	W	AAFC03012842.1	0	72504	+
90	chr1	18610916	18614359	1033	W	AAFC03022151.1	0	3443	+
90	chr1	18735800	18743735	1054	W	AAFC03022139.1	0	7935	+
91	chr1	18996922	19012433	1065	W	AAFC03021917.1	8937	24448	-
91	chr1	19131283	19143815	1069	W	AAFC03070907.1	0	12532	+
91	chr1	19240549	19308197	1078	W	AAFC03012296.1	11413	79061	-
91	chr1	19379863	19420482	1083	W	AAFC03026465.1	0	40619	+
91	chr1	19526359	19533702	1089	W	AAFC03064256.1	0	7343	+
91	chr1	19613375	19665051	1103	W	AAFC03072727.1	0	51676	+
91	chr1	19776689	19836935	1112	W	AAFC03003808.1	0	60246	+
92	chr1	19997587	20123078	1123	W	AAFC03027432.1	0	125491	+
92	chr1	20132789	20197644	1126	W	AAFC03074674.1	0	64855	+
92	chr1	20304135	20323220	1133	W	AAFC03123001.1	0	19085	+
92	chr1	20428061	20459112	1146	W	AAFC03083752.1	0	31051	+
92	chr1	20572082	20578424	1153	W	AAFC03084675.1	0	6342	-
92	chr1	20644174	20723251	1166	W	AAFC03059145.1	0	79077	+
92	chr1	20785571	20908703	1172	W	AAFC03087872.1	0	123132	+
93	chr1	21188274	21250858	1186	W	AAFC03028739.1	0	62584	+
93	chr1	21359935	21366070	1190	W	AAFC02111881.1	5405	11540	-
93	chr1	21465032	21547916	1196	W	AAFC03093653.1	0	82884	+
93	chr1	21624921	21631684	1201	W	AAFC03017291.1	0	6763	-
93	chr1	21728985	21768078	1204	W	AAFC03034518.1	0	39093	+
93	chr1	21857990	21909123	1209	W	AAFC03075690.1	0	51133	-
94	chr1	22126607	22152976	1239	W	AAFC03040661.1	968	27337	+
94	chr1	22217865	22292310	1249	W	AAFC03009431.1	0	74445	+
94	chr1	22383221	22452312	1257	W	AAFC03044020.1	0	69091	-
94	chr1	22539740	22650798	1262	W	AAFC03047708.1	0	111058	+
94	chr1	22650973	22684022	1264	W	AAFC03047707.1	0	33049	+
94	chr1	22778547	22809252	1287	W	AAFC03103564.1	0	30705	-
94	chr1	22934271	22992336	1295	W	AAFC03088911.1	0	58065	+
95	chr1	23098374	23222186	1305	W	AAFC03053896.1	0	123812	+
95	chr1	23328613	23333654	1315	W	AAFC03085651.1	0	5041	-
95	chr1	23458224	23474783	1332	W	AAFC03107125.1	0	16559	+
95	chr1	23584306	23641201	1340	W	AAFC03060723.1	0	56895	-
95	chr1	23710511	23748282	1347	W	AAFC03042524.1	0	37771	+
95	chr1	23851549	23882961	1358	W	AAFC03064025.1	11673	43085	-
95	chr1	23943433	24053155	1371	W	AAFC03044454.1	0	109722	+
96	chr1	24156478	24276515	1380	W	AAFC03000003.1	0	120037	-
96	chr1	24372525	24393530	1398	W	AAFC03035923.1	0	21005	+
96	chr1	24508482	24512390	1416	W	AAFC03094527.1	4454	8362	-
96	chr1	24614011	24654668	1423	W	AAFC03053879.1	0	40657	+
96	chr1	24751823	24806805	1431	W	AAFC03053878.1	2512	57494	+
96	chr1	24886605	24931962	1440	W	AAFC03071746.1	17076	62433	-
96	chr1	25023351	25046182	1446	W	AAFC03094580.1	3193	26024	-
97	chr1	25266045	25299284	1456	W	AAFC03002452.1	0	33239	-
97	chr1	25410150	25435795	1465	W	AAFC02068239.1	0	25645	-
97	chr1	25546518	25564825	1479	W	AAFC03013340.1	0	18307	-
97	chr1	25681700	25717257	1495	W	AAFC03045407.1	0	35557	-
97	chr1	25745712	25822360	1504	W	AAFC03089914.1	0	76648	-
97	chr1	25948420	25958512	1522	W	AAFC03111004.1	0	10092	-
97	chr1	26064200	26137603	1542	W	AAFC03083866.1	7893	81296	-
98	chr1	26342731	26348671	1557	W	AAFC03120198.1	0	5940	+
98	chr1	26433804	26485145	1568	W	AAFC03034312.1	11057	62398	+
98	chr1	26601824	26614129	1579	W	AAFC02042703.1	15117	27422	-
98	chr1	26665313	26784075	1582	W	AAFC03081698.1	30764	149526	-
98	chr1	26972939	27027614	1599	W	AAFC03065834.1	0	54675	+
98	chr1	27097486	27133555	1603	W	AAFC03071185.1	0	36069	+
99	chr1	27388652	27446997	1627	W	AAFC03069133.1	0	58345	+
99	chr1	27501369	27537419	1630	W	AAFC02067168.1	0	36050	-
99	chr1	27653338	27659170	1642	W	AAFC03089355.1	8258	14090	+
99	chr1	27779779	27788318	1654	W	AAFC03094424.1	0	8539	+
99	chr1	27906504	27922470	1670	W	AAFC03046710.1	0	15966	+
99	chr1	28023368	28065285	1688	W	AAFC03046714.1	1595	43512	-
100	chr1	28438916	28445246	1711	W	AAFC03024613.1	0	6330	+
100	chr1	28554879	28634571	1731	W	AAFC03068443.1	0	79692	+
100	chr1	28831637	28911503	1767	W	AAFC03101574.1	0	79866	-
100	chr1	28963387	28969952	1775	W	AAFC02073464.1	0	6565	+
100	chr1	29086266	29120020	1782	W	AAFC03038664.1	0	33754	-
100	chr1	29219357	29245607	1797	W	AAFC03038667.1	0	26250	-
101	chr1	29449181	29508248	1827	W	AAFC03071840.1	0	59067	+
101	chr1	29607631	29650013	1835	W	AAFC03089242.1	18900	61282	-
101	chr1	29733110	29764727	1840	W	AAFC03060661.1	0	31617	-
101	chr1	29880800	29905949	1853	W	AAFC02027471.1	0	25149	+
101	chr1	30011784	30037057	1875	W	AAFC02027470.1	0	25273	-
101	chr1	30130948	30167179	1894	W	AAFC03119605.1	0	36231	-
102	chr1	30520930	30572371	1913	W	AAFC03046102.1	0	51441	+
102	chr1	30608259	30747510	1916	W	AAFC03067232.1	2699	141950	-
102	chr1	30799246	30805658	1929	W	AAFC02011331.1	0	6412	-
102	chr1	30929676	30939700	1960	W	AAFC02150146.1	0	10024	+
102	chr1	31054746	31074690	1983	W	AAFC03123634.1	0	19944	+
102	chr1	31164597	31216463	1997	W	AAFC03018618.1	0	51866	+
102	chr1	31322496	31333319	2008	W	AAFC02087047.1	0	10823	+
103	chr1	31574259	31589412	2026	W	AAFC03019148.1	0	15153	+
103	chr1	31716651	31721407	2035	W	AAFC03019144.1	0	4756	+
103	chr1	31808705	31854416	2045	W	AAFC02068616.1	0	45711	+
103	chr1	31976705	31987258	2064	W	AAFC02010908.1	33682	44235	-
103	chr1	32217839	32277391	2098	W	AAFC03047477.1	0	59552	+
104	chr1	32623040	32703818	2118	W	AAFC03013749.1	16826	97604	-
104	chr1	32720705	32776112	2120	W	AAFC03013748.1	0	55407	+
104	chr1	32879451	32969328	2129	W	AAFC03010494.1	0	89877	+
104	chr1	33026598	33030153	2138	W	AAFC03131274.1	0	3555	+
104	chr1	33137804	33172508	2150	W	AAFC03003468.1	0	34704	+
104	chr1	33423236	33439494	2163	W	AAFC03125400.1	0	16258	-
105	chr1	33646037	33739955	2180	W	AAFC03094464.1	0	93918	+
105	chr1	33806076	33827842	2185	W	AAFC02063442.1	3206	24972	-
105	chr1	33943802	33954046	2203	W	AAFC03123216.1	2052	12296	-
105	chr1	34202975	34226501	2218	W	AAFC03000297.1	0	23526	+
105	chr1	34311943	34367475	2222	W	AAFC03023991.1	0	55532	+
105	chr1	34428312	34515032	2225	W	AAFC03066534.1	0	86720	-
106	chr1	34715939	34739371	2239	W	AAFC03081146.1	0	23432	-
106	chr1	34862338	34873615	2255	W	AAFC03087996.1	0	11277	-
106	chr1	34983578	35001896	2261	W	AAFC03087998.1	0	18318	+
106	chr1	35122277	35130210	2275	W	AAFC03057987.1	0	7933	-
106	chr1	35235439	35269033	2282	W	AAFC03066976.1	0	33594	+
106	chr1	35277103	35446820	2285	W	AAFC03042833.1	0	169717	-
106	chr1	35513623	35522655	2295	W	AAFC03082487.1	0	9032	+
107	chr1	35766676	35803211	2317	W	AAFC03070963.1	13861	50396	-
107	chr1	35910575	35941041	2330	W	AAFC03028703.1	0	30466	+
107	chr1	36030356	36049717	2342	W	AAFC03028701.1	0	19361	+
107	chr1	36150517	36196611	2353	W	AAFC03077930.1	0	46094	+
107	chr1	36292927	36325163	2359	W	AAFC03108557.1	0	32236	+
107	chr1	36431275	36450586	2373	W	AAFC03066424.1	0	19311	-
107	chr1	36497082	36574239	2379	W	AAFC03066426.1	9445	86602	-
108	chr1	36817488	36844878	2398	W	AAFC03007611.1	0	27390	+
108	chr1	36844878	36973288	2399	W	AAFC03005495.1	0	128410	-
108	chr1	37085651	37122993	2410	W	AAFC03006633.1	0	37342	-
108	chr1	37196218	37238714	2416	W	AAFC03006634.1	0	42496	-
108	chr1	37350952	37355577	2428	W	AAFC03026812.1	0	4625	+
108	chr1	37415812	37494782	2433	W	AAFC03091541.1	0	78970	+
108	chr1	37573262	37636369	2438	W	AAFC03092455.1	0	63107	+
109	chr1	37874341	37951549	2457	W	AAFC03008454.1	0	77208	-
109	chr1	37987682	38030768	2464	W	AAFC03008453.1	0	43086	-
109	chr1	38137836	38143798	2479	W	AAFC03037500.1	0	5962	-
109	chr1	38207725	38273174	2481	W	AAFC03056076.1	0	65449	-
109	chr1	38378165	38466853	2489	W	AAFC03038246.1	0	88688	-
109	chr1	38533346	38618463	2494	W	AAFC03041536.1	0	85117	+
109	chr1	38630043	38674904	2497	W	AAFC03088963.1	3815	48676	-
110	chr1	38924967	38963006	2520	W	AAFC03119567.1	0	38039	-
110	chr1	39168451	39211956	2527	W	AAFC03061582.1	0	43505	-
110	chr1	39320799	39433309	2532	W	AAFC03005431.1	197	112707	+
110	chr1	39433662	39461829	2534	W	AAFC03005429.1	0	28167	+
110	chr1	39582224	39586277	2539	W	AAFC02008527.1	23891	27944	-
110	chr1	39691564	39721761	2552	W	AAFC03037517.1	0	30197	+
111	chr1	39954207	39990539	2568	W	AAFC03016446.1	0	36332	+
111	chr1	40104348	40110399	2582	W	AAFC03093975.1	5555	11606	+
